顧客ID,年齢,会員ランク,購入回数,累計購入金額,都道府県
C1115,49,プラチナ,24,144500,福岡県
C1116,26,ブロンズ,4,10000,東京都
C1117,35,シルバー,9,55500,大阪府
C1118,44,ゴールド,17,101000,愛知県
C1119,53,プラチナ,25,143000,福岡県
C1120,25,ブロンズ,2,8500,東京都
C1121,34,シルバー,10,54000,大阪府
C1122,43,ゴールド,18,99500,愛知県
C1123,52,プラチナ,23,145000,福岡県
C1124,29,ブロンズ,3,10500,東京都
C1125,33,シルバー,11,56000,大阪府
C1126,42,ゴールド,16,98000,愛知県
C1127,51,プラチナ,24,143500,福岡県
C1128,28,ブロンズ,4,9000,東京都
C1129,37,シルバー,9,54500,大阪府
C1130,41,ゴールド,17,100000,愛知県
C1131,50,プラチナ,25,145500,福岡県
C1132,27,ブロンズ,2,11000,東京都
C1133,36,シルバー,10,53000,大阪府
C1134,45,ゴールド,18,98500,愛知県
C1135,49,プラチナ,23,144000,福岡県
C1136,26,ブロンズ,3,9500,東京都
C1137,35,シルバー,11,55000,大阪府
C1138,44,ゴールド,16,100500,愛知県
C1139,53,プラチナ,24,146000,福岡県
C1140,25,ブロンズ,4,8000,東京都
C1141,34,シルバー,9,53500,大阪府
C1142,43,ゴールド,17,99000,愛知県
C1143,52,プラチナ,25,144500,福岡県
C1144,29,ブロンズ,2,10000,東京都
C1145,33,シルバー,10,55500,大阪府
C1146,42,ゴールド,18,101000,愛知県
C1147,51,プラチナ,23,143000,福岡県
C1148,28,ブロンズ,3,8500,東京都
C1149,37,シルバー,11,54000,大阪府
C1150,41,ゴールド,16,99500,愛知県
C1151,50,プラチナ,24,145000,福岡県
C1152,27,ブロンズ,4,10500,東京都
C1153,36,シルバー,9,56000,大阪府
C1154,45,ゴールド,17,98000,愛知県
C1155,49,プラチナ,25,143500,福岡県
C1156,26,ブロンズ,2,9000,東京都
C1157,35,シルバー,10,54500,大阪府
C1158,44,ゴールド,18,100000,愛知県
C1159,53,プラチナ,23,145500,福岡県
C1160,25,ブロンズ,3,11000,東京都
C1161,34,シルバー,11,53000,大阪府
C1162,43,ゴールド,16,98500,愛知県
C1163,52,プラチナ,24,144000,福岡県
C1164,29,ブロンズ,4,9500,東京都
C1165,33,シルバー,9,55000,大阪府
C1166,42,ゴールド,17,100500,愛知県
C1167,51,プラチナ,25,146000,福岡県
C1168,28,ブロンズ,2,8000,東京都
C1169,37,シルバー,10,53500,大阪府
C1170,41,ゴールド,18,99000,愛知県
C1171,50,プラチナ,23,144500,福岡県
C1172,27,ブロンズ,3,10000,東京都
C1173,36,シルバー,11,55500,大阪府
C1174,45,ゴールド,16,101000,愛知県
C1175,49,プラチナ,24,143000,福岡県
C1176,26,ブロンズ,4,8500,東京都
C1177,35,シルバー,9,54000,大阪府
C1178,44,ゴールド,17,99500,愛知県
C1179,53,プラチナ,25,145000,福岡県
C1180,25,ブロンズ,2,10500,東京都
C1181,34,シルバー,10,56000,大阪府
C1182,43,ゴールド,18,98000,愛知県
C1183,52,プラチナ,23,143500,福岡県
C1184,29,ブロンズ,3,9000,東京都
C1185,33,シルバー,11,54500,大阪府
C1186,42,ゴールド,16,100000,愛知県
C1187,51,プラチナ,24,145500,福岡県
C1188,28,ブロンズ,4,11000,東京都
C1189,37,シルバー,9,53000,大阪府
C1190,41,ゴールド,17,98500,愛知県
C1191,50,プラチナ,25,144000,福岡県
C1192,27,ブロンズ,2,9500,東京都
C1193,36,シルバー,10,55000,大阪府
C1194,45,ゴールド,18,100500,愛知県
C1195,49,プラチナ,23,146000,福岡県
C1196,26,ブロンズ,3,8000,東京都
C1197,35,シルバー,11,53500,大阪府
C1198,44,ゴールド,16,99000,愛知県
C1199,53,プラチナ,24,144500,福岡県
C1200,25,ブロンズ,4,10000,東京都
C1201,34,シルバー,9,55500,大阪府
C1202,43,ゴールド,17,101000,愛知県
C1203,52,プラチナ,25,143000,福岡県
C1204,29,ブロンズ,2,8500,東京都
C1205,33,シルバー,10,54000,大阪府
C1206,42,ゴールド,18,99500,愛知県
C1207,51,プラチナ,23,145000,福岡県
C1208,28,ブロンズ,3,10500,東京都
C1209,37,シルバー,11,56000,大阪府
C1210,41,ゴールド,16,98000,愛知県
C1211,50,プラチナ,24,143500,福岡県
C1212,27,ブロンズ,4,9000,東京都
C1213,36,シルバー,9,54500,大阪府
C1214,45,ゴールド,17,100000,愛知県
C1215,49,プラチナ,25,145500,福岡県
C1216,26,ブロンズ,2,11000,東京都
C1217,35,シルバー,10,53000,大阪府
C1218,44,ゴールド,18,98500,愛知県
C1219,53,プラチナ,23,144000,福岡県
C1220,25,ブロンズ,3,9500,東京都
C1221,34,シルバー,11,55000,大阪府
C1222,43,ゴールド,16,100500,愛知県
C1223,52,プラチナ,24,146000,福岡県
C1224,29,ブロンズ,4,8000,東京都
C1225,33,シルバー,9,53500,大阪府
C1226,42,ゴールド,17,99000,愛知県
C1227,51,プラチナ,25,144500,福岡県
C1228,28,ブロンズ,2,10000,東京都
C1229,37,シルバー,10,55500,大阪府
C1230,41,ゴールド,18,101000,愛知県
C1231,50,プラチナ,23,143000,福岡県
C1232,27,ブロンズ,3,8500,東京都
C1233,36,シルバー,11,54000,大阪府
C1234,45,ゴールド,16,99500,愛知県
C1235,49,プラチナ,24,145000,福岡県
C1236,26,ブロンズ,4,10500,東京都
C1237,35,シルバー,9,56000,大阪府
C1238,44,ゴールド,17,98000,愛知県
C1239,53,プラチナ,25,143500,福岡県
C1240,25,ブロンズ,2,9000,東京都
C1241,34,シルバー,10,54500,大阪府
C1242,43,ゴールド,18,100000,愛知県
C1243,52,プラチナ,23,145500,福岡県
C1244,29,ブロンズ,3,11000,東京都
C1245,33,シルバー,11,53000,大阪府
C1246,42,ゴールド,16,98500,愛知県
C1247,51,プラチナ,24,144000,福岡県
C1248,28,ブロンズ,4,9500,東京都
C1249,37,シルバー,9,55000,大阪府
C1250,41,ゴールド,17,100500,愛知県
C1251,50,プラチナ,25,146000,福岡県
C1252,27,ブロンズ,2,8000,東京都
C1253,36,シルバー,10,53500,大阪府
C1254,45,ゴールド,18,99000,愛知県
C1255,49,プラチナ,23,144500,福岡県
C1256,26,ブロンズ,3,10000,東京都
C1257,35,シルバー,11,55500,大阪府
C1258,44,ゴールド,16,101000,愛知県
C1259,53,プラチナ,24,143000,福岡県
C1260,25,ブロンズ,4,8500,東京都
C1261,34,シルバー,9,54000,大阪府
C1262,43,ゴールド,17,99500,愛知県
C1263,52,プラチナ,25,145000,福岡県
C1264,29,ブロンズ,2,10500,東京都
C1265,33,シルバー,10,56000,大阪府
C1266,42,ゴールド,18,98000,愛知県
C1267,51,プラチナ,23,143500,福岡県
C1268,28,ブロンズ,3,9000,東京都
C1269,37,シルバー,11,54500,大阪府
C1270,41,ゴールド,16,100000,愛知県
C1271,50,プラチナ,24,145500,福岡県
C1272,27,ブロンズ,4,11000,東京都
C1273,36,シルバー,9,53000,大阪府
C1274,45,ゴールド,17,98500,愛知県
C1275,49,プラチナ,25,144000,福岡県
C1276,26,ブロンズ,2,9500,東京都
C1277,35,シルバー,10,55000,大阪府
C1278,44,ゴールド,18,100500,愛知県
C1279,53,プラチナ,23,146000,福岡県
C1280,25,ブロンズ,3,8000,東京都
C1281,34,シルバー,11,53500,大阪府
C1282,43,ゴールド,16,99000,愛知県
C1283,52,プラチナ,24,144500,福岡県
C1284,29,ブロンズ,4,10000,東京都
C1285,33,シルバー,9,55500,大阪府
C1286,42,ゴールド,17,101000,愛知県
C1287,51,プラチナ,25,143000,福岡県
C1288,28,ブロンズ,2,8500,東京都
C1289,37,シルバー,10,54000,大阪府
C1290,41,ゴールド,18,99500,愛知県
C1291,50,プラチナ,23,145000,福岡県
C1292,27,ブロンズ,3,10500,東京都
C1293,36,シルバー,11,56000,大阪府
C1294,45,ゴールド,16,98000,愛知県
C1295,49,プラチナ,24,143500,福岡県
C1296,26,ブロンズ,4,9000,東京都
C1297,35,シルバー,9,54500,大阪府
C1298,44,ゴールド,17,100000,愛知県
C1299,53,プラチナ,25,145500,福岡県
C1300,25,ブロンズ,2,11000,東京都
C1301,34,シルバー,10,53000,大阪府
C1302,43,ゴールド,18,98500,愛知県
C1303,52,プラチナ,23,144000,福岡県
C1304,29,ブロンズ,3,9500,東京都
C1305,33,シルバー,11,55000,大阪府
C1306,42,ゴールド,16,100500,愛知県
C1307,51,プラチナ,24,146000,福岡県
C1308,28,ブロンズ,4,8000,東京都
C1309,37,シルバー,9,53500,大阪府
C1310,41,ゴールド,17,99000,愛知県
C1311,50,プラチナ,25,144500,福岡県
C1312,27,ブロンズ,2,10000,東京都
C1313,36,シルバー,10,55500,大阪府
C1314,45,ゴールド,18,101000,愛知県
C1315,49,プラチナ,23,143000,福岡県
C1316,26,ブロンズ,3,8500,東京都
C1317,35,シルバー,11,54000,大阪府
C1318,44,ゴールド,16,99500,愛知県
C1319,53,プラチナ,24,145000,福岡県
C1320,25,ブロンズ,4,10500,東京都
C1321,34,シルバー,9,56000,大阪府
C1322,43,ゴールド,17,98000,愛知県
C1323,52,プラチナ,25,143500,福岡県
C1324,29,ブロンズ,2,9000,東京都
C1325,33,シルバー,10,54500,大阪府
C1326,42,ゴールド,18,100000,愛知県
C1327,51,プラチナ,23,145500,福岡県
C1328,28,ブロンズ,3,11000,東京都
C1329,37,シルバー,11,53000,大阪府
C1330,41,ゴールド,16,98500,愛知県
C1331,50,プラチナ,24,144000,福岡県
C1332,27,ブロンズ,4,9500,東京都
C1333,36,シルバー,9,55000,大阪府
C1334,45,ゴールド,17,100500,愛知県
C1335,49,プラチナ,25,146000,福岡県
C1336,26,ブロンズ,2,8000,東京都
C1337,35,シルバー,10,53500,大阪府
C1338,44,ゴールド,18,99000,愛知県
C1339,53,プラチナ,23,144500,福岡県
C1340,25,ブロンズ,3,10000,東京都
C1341,34,シルバー,11,55500,大阪府
C1342,43,ゴールド,16,101000,愛知県
C1343,52,プラチナ,24,143000,福岡県
C1344,29,ブロンズ,4,8500,東京都
C1345,33,シルバー,9,54000,大阪府
C1346,42,ゴールド,17,99500,愛知県
C1347,51,プラチナ,25,145000,福岡県
C1348,28,ブロンズ,2,10500,東京都
C1349,37,シルバー,10,56000,大阪府
C1350,41,ゴールド,18,98000,愛知県
C1351,50,プラチナ,23,143500,福岡県
C1352,27,ブロンズ,3,9000,東京都
C1353,36,シルバー,11,54500,大阪府
C1354,45,ゴールド,16,100000,愛知県
C1355,49,プラチナ,24,145500,福岡県
C1356,26,ブロンズ,4,11000,東京都
C1357,35,シルバー,9,53000,大阪府
C1358,44,ゴールド,17,98500,愛知県
C1359,53,プラチナ,25,144000,福岡県
C1360,25,ブロンズ,2,9500,東京都
C1361,34,シルバー,10,55000,大阪府
C1362,43,ゴールド,18,100500,愛知県
C1363,52,プラチナ,23,146000,福岡県
C1364,29,ブロンズ,3,8000,東京都
C1365,33,シルバー,11,53500,大阪府
C1366,42,ゴールド,16,99000,愛知県
C1367,51,プラチナ,24,144500,福岡県
C1368,28,ブロンズ,4,10000,東京都
C1369,37,シルバー,9,55500,大阪府
C1370,41,ゴールド,17,101000,愛知県
C1371,50,プラチナ,25,143000,福岡県
C1372,27,ブロンズ,2,8500,東京都
C1373,36,シルバー,10,54000,大阪府
C1374,45,ゴールド,18,99500,愛知県
C1375,49,プラチナ,23,145000,福岡県
C1376,26,ブロンズ,3,10500,東京都
C1377,35,シルバー,11,56000,大阪府
C1378,44,ゴールド,16,98000,愛知県
C1379,53,プラチナ,24,143500,福岡県
C1380,25,ブロンズ,4,9000,東京都
C1381,34,シルバー,9,54500,大阪府
C1382,43,ゴールド,17,100000,愛知県
C1383,52,プラチナ,25,145500,福岡県
C1384,29,ブロンズ,2,11000,東京都
C1385,33,シルバー,10,53000,大阪府
C1386,42,ゴールド,18,98500,愛知県
C1387,51,プラチナ,23,144000,福岡県
C1388,28,ブロンズ,3,9500,東京都
C1389,37,シルバー,11,55000,大阪府
C1390,41,ゴールド,16,100500,愛知県
C1391,50,プラチナ,24,146000,福岡県
C1392,27,ブロンズ,4,8000,東京都
C1393,36,シルバー,9,53500,大阪府
C1394,45,ゴールド,17,99000,愛知県
C1395,49,プラチナ,25,144500,福岡県
C1396,26,ブロンズ,2,10000,東京都
C1397,35,シルバー,10,55500,大阪府
C1398,44,ゴールド,18,101000,愛知県
C1399,53,プラチナ,23,143000,福岡県
